Geographic Community School District,Total number of student encounters (# of all med room visits in ASHR),Total number of medication orders reviewed by OSH,Anaphylaxis (allergies),Asthma,Diabetes Type 1,Diabetes Type 2,Total number of students served by SBHCs,Diagnostic and Treatment Center,Federally Qualified Health Center,Hospital,Total SBHCs,Total Enrollment,# Poverty
1,13427,924,580,1661,22,9,1318,0,2,0,2,10327,6509
2,59292,4158,3170,7397,118,36,13816,0,7,2,9,57900,30570
3,23702,1857,1338,3273,32,12,4420,0,3,2,5,19766,9611
4,13944,1415,790,3281,27,7,6429,0,4,6,10,11567,9359
5,13980,1255,895,3505,37,14,7211,0,10,2,12,9341,7509
6,25378,1856,959,3498,32,11,8640,4,2,5,11,19424,15809
7,39413,2740,1096,5915,47,34,7624,0,7,2,9,16032,14751
8,57008,2285,957,4881,52,19,8133,0,8,1,9,24338,20119
9,37629,1996,908,5139,48,20,14003,1,10,5,16,28491,26015
10,61407,3097,1582,7535,80,30,20324,0,11,6,17,48016,39063
11,75649,3234,1682,7020,96,43,12670,0,2,6,8,34491,27184
12,27653,1502,680,4114,40,24,7543,0,5,3,8,18091,16558
13,21049,1356,1151,3215,46,11,768,0,1,0,1,20269,12222
14,31349,1408,822,2977,43,10,3862,0,3,0,3,16673,11710
15,42051,2272,1398,3230,49,17,10513,0,7,4,11,29777,16217
16,15678,698,416,1928,27,7,0,0,0,0,0,5970,4856
17,29492,2219,1094,3704,40,16,3193,0,2,0,2,20128,15599
18,36056,1604,938,2654,39,13,0,0,0,0,0,12068,8987
19,31803,1506,896,3636,44,14,6018,0,3,2,5,19959,17114
20,53031,2284,1193,2405,70,8,2544,0,2,0,2,50411,37192
21,53435,2031,1082,2719,52,16,2159,0,2,0,2,36618,25684
22,77803,2113,1148,2797,49,3,1039,0,1,0,1,32524,21807
23,21012,1493,625,2513,23,7,1692,0,1,0,1,7863,7005
24,84906,4255,1962,5460,62,19,3140,0,2,0,2,54197,40280
25,62914,2866,1424,3172,33,11,0,0,0,0,0,37197,24873
26,70694,2974,1589,2988,43,16,0,0,0,0,0,30859,17561
27,87518,3436,1527,5347,72,18,7257,0,0,6,6,41502,30973
28,64410,2912,1608,4197,56,21,639,0,1,0,1,39396,25333
29,48933,2450,1121,2990,35,7,3230,0,1,1,2,24266,17095
30,72635,3472,1589,4042,46,13,1558,0,1,0,1,37664,25202
31,174991,6921,3124,6307,141,30,10058,1,0,3,4,61838,35963
32,15632,904,457,1749,16,6,2161,0,2,0,2,11181,9209